"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.16009208778618e-17,0.42945755795586,0.708,0.231,2.70939507102461e-13,"COL7A1"
1.22543840364202e-17,0.721500685051924,0.542,0.126,2.86201139170594e-13,"CGN"
1.244887672518e-17,0.325833851390255,0.542,0.119,2.9074351591658e-13,"MUC17"
1.33141843793576e-17,0.50215445614358,0.667,0.205,3.10952776179896e-13,"NOS1"
1.35070006496238e-17,0.614937015643846,0.625,0.168,3.15456000171963e-13,"EPPK1"
1.35329383150427e-17,0.992137797678926,0.438,0.071,3.16061774347822e-13,"MAGEB18"
1.3788353780436e-17,0.652924505712356,1,0.761,3.22027002542083e-13,"KCNQ1OT1"
1.50396197121468e-17,-1.55546341070027,0.312,0.952,3.51250318377189e-13,"RPL35A"
1.54220901203239e-17,-1.81646963272295,0.312,0.971,3.60182914760166e-13,"RPS16"
1.59053990936968e-17,0.480826499297063,0.458,0.081,3.71470595833288e-13,"SHISA7"
1.62249507568951e-17,1.68303276528623,0.375,0.051,3.78933724927286e-13,"ADORA1"
1.68287238840472e-17,0.695764532373212,0.5,0.102,3.93034846311922e-13,"XKR4"
1.72233883838994e-17,0.470206624109818,0.625,0.171,4.02252235705971e-13,"SEMA3A"
1.72810415272882e-17,0.47305695310253,0.708,0.229,4.03598724869816e-13,"RAB3B"
1.73186850191113e-17,-2.5927236018872,0.208,0.854,4.04477888621344e-13,"S100A11"
1.84964469980657e-17,-1.77287602511965,0.417,0.981,4.31984519639824e-13,"MYL6"
1.98506890429055e-17,-1.49942110622016,0.729,0.99,4.63612842597059e-13,"CALM1"
2.0362976272928e-17,0.423788456173363,0.625,0.173,4.75577310854234e-13,"TFCP2L1"
2.1268594282499e-17,-2.48405245788152,0.312,0.91,4.96728019467764e-13,"GNG11"
2.27316552568032e-17,0.350936132706129,0.542,0.121,5.30897808522638e-13,"NKD1"
2.40417353971302e-17,-1.72586579968229,0.458,0.956,5.61494730199975e-13,"UQCR11"
2.40607171763051e-17,0.878692746191005,0.688,0.238,5.61938049652606e-13,"NPAS3"
2.46391311591604e-17,-2.15541145002384,0.312,0.927,5.7544690822219e-13,"CKM"
2.59751206316839e-17,0.630325519512103,0.875,0.387,6.06648942352977e-13,"POU2F2"
2.7492562376494e-17,0.624560824126047,0.479,0.093,6.42088794303018e-13,"TNN"
2.79064565535852e-17,-1.87607368034035,0.458,0.949,6.51755292808983e-13,"ATP5EP2"
2.85647143013181e-17,-2.12006122056484,0.646,0.993,6.67128902507285e-13,"MYH7"
2.97366309634217e-17,1.36731370756367,0.542,0.121,6.94499016150714e-13,"CEACAM6"
3.18110855492275e-17,-1.64585757756836,0.25,0.956,7.42947903002208e-13,"UQCRQ"
3.55591110118601e-17,0.201582171432459,0.812,0.394,8.30483037681992e-13,"NEB"
3.60965905198676e-17,-1.28472364436696,0.125,0.837,8.43035871591507e-13,"ATP5H"
3.72914431571941e-17,-1.85658287028412,0.083,0.857,8.70941654936268e-13,"ROMO1"
3.84138134276322e-17,0.270305081817562,0.396,0.059,8.97154612602349e-13,"COL2A1"
4.26922210100227e-17,-2.49969262029526,0.458,0.941,9.97076821689079e-13,"IGFBP7"
4.40294307785274e-17,-0.738286381640297,0.188,0.917,1.02830735583251e-12,"RPL37"
4.59957604592953e-17,0.309737811055878,0.521,0.112,1.07423098552684e-12,"DUOX2"
4.66866799679514e-17,0.667134031046804,0.708,0.261,1.09036741065151e-12,"CNTNAP2"
5.18781998224835e-17,0.483409972685006,0.542,0.121,1.2116153568541e-12,"AHRR"
5.19200425694494e-17,0.969649623057469,0.688,0.224,1.21259259420949e-12,"HS6ST3"
5.54248757836473e-17,1.10062621183339,0.792,0.331,1.29444797392708e-12,"BCL11B"
5.65353106488975e-17,0.280066528224245,0.479,0.093,1.320382180205e-12,"SCN11A"
6.40178081343153e-17,-1.16569617075523,0.375,0.951,1.49513590897693e-12,"HSP90AB1"
6.4935036222127e-17,-1.3608143310783,0.188,0.917,1.51655777096778e-12,"POLR2L"
6.59809708675254e-17,-1.6561153530636,0.292,0.929,1.54098557461106e-12,"DSTN"
6.92125594120945e-17,-1.22047007740897,0.354,0.951,1.61645932506947e-12,"RPS29"
6.98452801840305e-17,0.914011283664519,0.75,0.289,1.63123651869803e-12,"NTRK3"
7.01836908382269e-17,0.744799831087365,0.5,0.107,1.63914009952679e-12,"ARMC4"
7.41326226901642e-17,-2.4256229299399,0.25,0.871,1.73136740292878e-12,"OST4"
7.45632259463299e-17,-1.88877854304007,0.312,0.907,1.74142414197653e-12,"ACTG1"
7.78318379656612e-17,0.7237075434097,0.375,0.051,1.81776257568802e-12,"FLJ46257"
7.98671209180908e-17,-1.90952597277086,0.354,0.905,1.86529660904201e-12,"COX7A2"
8.46531143716652e-17,-1.67461741385849,0.354,0.98,1.97707348615024e-12,"RPL11"
9.00449576680783e-17,-2.46898113054707,0.292,0.846,2.10299998633797e-12,"GSTP1"
9.13292296527119e-17,0.733178157698849,0.312,0.034,2.13299415853909e-12,"LOC100505989"
9.27863414323538e-17,-1.11965282738905,0.188,0.876,2.16702500415262e-12,"RPS13"
1.00511296955615e-16,-1.82602695636769,0.312,0.964,2.34744134039838e-12,"FAU"
1.0403748375838e-16,-1.62309093761599,0.396,0.985,2.42979543317698e-12,"RPS14"
1.1588164750148e-16,-0.881283867429152,0.25,0.9,2.70641587739706e-12,"RPS23"
1.15919618529665e-16,0.645518266565813,0.708,0.255,2.70730269076033e-12,"BSN"
1.17945788015159e-16,0.754402650199453,0.708,0.239,2.75462387909404e-12,"ZNF585B"
1.18584220254196e-16,0.495517504721824,0.604,0.168,2.76953446403675e-12,"CDH4"
1.25423186352751e-16,0.924942499891331,0.562,0.139,2.92925851726849e-12,"ADAMTS13"
1.2773264198467e-16,0.209894553032489,0.625,0.183,2.98319585355198e-12,"CSMD3"
1.30425624665971e-16,0.272121119857964,0.521,0.112,3.04609046407374e-12,"FER1L4"
1.35685132805861e-16,0.25224731424694,0.229,0.015,3.16892627668089e-12,"CCDC42"
1.36323055794262e-16,0.960742722934185,0.604,0.171,3.18382496807498e-12,"IGDCC3"
1.3971941550555e-16,-2.39748813744352,0.438,0.91,3.26314694913212e-12,"CAV1"
1.43155722884363e-16,0.440127287651691,0.583,0.161,3.3434019079643e-12,"CELF4"
1.43819245944113e-16,-2.00550058109946,0.312,0.864,3.35889848902476e-12,"MYL12B"
1.4628009919399e-16,-2.00582156696248,0.104,0.818,3.41637171667565e-12,"SLIRP"
1.6225016162861e-16,-1.92558712432127,0.396,0.934,3.7893525248362e-12,"CALM2"
1.66841081734898e-16,0.602523942396081,0.667,0.219,3.89657346391854e-12,"MUC6"
1.71981882420673e-16,0.494398485770011,0.562,0.141,4.01663686393483e-12,"FAT2"
1.75392909616765e-16,-2.76104575207462,0.25,0.849,4.09630140409955e-12,"SAT1"
1.84799099191081e-16,-2.68249264627929,0.083,0.756,4.31598296160769e-12,"C11orf10"
1.98444352866587e-16,-0.723640876578199,0.354,0.869,4.63466786119913e-12,"GLUL"
2.03752277372748e-16,-3.00572079848556,0.083,0.766,4.75863443804052e-12,"NDUFA12"
2.11466399141794e-16,-2.42105321266613,0.354,0.92,4.93879775195661e-12,"IFI27"
2.13893877263412e-16,-2.77663647407456,0.146,0.82,4.99549150348698e-12,"CSRP3"
2.38007734759883e-16,-1.40628251911023,0.354,0.983,5.55867064531708e-12,"RPS11"
2.4939625556855e-16,0.505840097811521,0.229,0.015,5.82464954880348e-12,"HPCA"
2.54634902215595e-16,-1.01869435353175,0.292,0.941,5.94699814124522e-12,"RPL5"
2.59092056610866e-16,-2.59044042684153,0.25,0.879,6.05109498214677e-12,"MT1X"
2.61762657156083e-16,0.7680941068419,0.375,0.054,6.11346685788033e-12,"ARHGEF16"
2.66731627463588e-16,1.00294158537425,0.312,0.034,6.22951715941209e-12,"WNT1"
2.78790171543228e-16,0.696207673773763,0.604,0.16,6.51114445639209e-12,"HCG22"
2.81441077860294e-16,-1.81380643276589,0.25,0.888,6.57305637342716e-12,"POMP"
3.28777959652202e-16,-1.35224060929352,0.125,0.847,7.67860924767718e-12,"NDUFB1"
3.67211077946087e-16,1.11905368151928,0.292,0.031,8.57621472543086e-12,"CDSN"
3.75310542823112e-16,0.773713750384504,0.438,0.081,8.76537772763378e-12,"LOC283738"
3.97519923726896e-16,0.297382012606466,0.875,0.385,9.28407781864166e-12,"BNC2"
4.06920345724133e-16,-1.62298500315481,0.479,0.963,9.50362467438712e-12,"RPL30"
4.11663749762748e-16,0.742179819634535,0.458,0.088,9.61440687570899e-12,"ADAMTS16"
4.13180829975666e-16,-2.13557409170952,0.208,0.896,9.64983828408167e-12,"PLN"
4.1495024386194e-16,-1.14385844260795,0.271,0.885,9.69116294539561e-12,"RPS25"
4.42811242354573e-16,0.765070135420875,0.542,0.136,1.03418565651911e-11,"ZNF831"
4.81846510700146e-16,-1.99376568111058,0.271,0.861,1.12535252574019e-11,"NDUFB7"
4.99042764909201e-16,0.24126087418072,0.708,0.25,1.16551437744544e-11,"DNAH5"
5.06487400678597e-16,2.79968589012501,0.396,0.063,1.18290132428486e-11,"KRTAP7-1"
5.24667964912564e-16,0.464246372921949,0.354,0.049,1.22536203205329e-11,"TMEM40"
5.32570237798447e-16,1.58501732657413,0.354,0.049,1.24381779037827e-11,"PPYR1"
5.36271420320303e-16,0.383660886566322,0.604,0.17,1.25246190215807e-11,"CHD5"
5.56648210511375e-16,-1.32066444222238,0.354,0.975,1.30005189564932e-11,"RPL38"
5.59939166820211e-16,-1.09519385893901,0.125,0.857,1.3077379241086e-11,"ATP5E"
5.63685484111308e-16,1.2808129613469,0.375,0.058,1.31648744814196e-11,"UBQLNL"
5.65281268197789e-16,0.27436368983258,0.5,0.109,1.32021440187594e-11,"FHAD1"
6.06831415685751e-16,-1.70275216611193,0.188,0.869,1.41725477133407e-11,"NDUFB2"
6.2202370761538e-16,0.262372966838955,0.479,0.097,1.45273636913572e-11,"C11orf9"
6.58527309819329e-16,-1.65137784551851,0.396,0.924,1.53799053208304e-11,"SLC25A4"
6.91501555843773e-16,0.958191181992296,0.479,0.102,1.61500188367313e-11,"LOC146513"
7.40317363726517e-16,-1.3033443005439,0.312,0.98,1.72901120298328e-11,"RPS19"
7.65140950847735e-16,1.18265003867489,0.146,0.003,1.78698669070489e-11,"LOC643669"
7.74246381362617e-16,0.322106289225697,0.667,0.233,1.80825242367239e-11,"DNAH2"
7.95189720082884e-16,0.840783332200312,0.375,0.056,1.85716559125358e-11,"CILP2"
7.98545724581638e-16,0.378179470445079,0.5,0.109,1.86500353976042e-11,"TRPM1"
9.04206951275554e-16,1.33551093904562,0.396,0.065,2.11177533470406e-11,"TRAIP"
