Sample_Index,ACSL4,GPX4,ACSL4_GPX4_Ratio,NDUFB7
331,9.09939,10.4293,0.8724,7.67034
332,8.96296,10.7042,0.8373,8.04036
333,9.07046,10.9001,0.8321,8.23877
334,8.84264,10.2342,0.8639,7.8986
335,8.76839,10.3243,0.8492,8.06837
336,8.724,10.586,0.824,8.03682
337,8.81295,10.369,0.8499,7.89633
338,9.00545,9.7454,0.924,7.51054
339,8.69695,10.1707,0.855,8.06719
340,8.89724,9.85348,0.9029,7.76445
341,8.99284,10.0121,0.8981,7.67932
342,9.37602,10.2728,0.9126,7.83432
343,9.1401,10.3602,0.8821,7.71863
344,8.92627,10.316,0.8652,7.68685
345,8.77109,10.2618,0.8546,7.72272
346,9.00443,10.6254,0.8474,7.98639
347,9.16386,10.0545,0.9113,8.02959
348,8.78443,10.3494,0.8487,8.06098
349,8.71499,10.2174,0.8529,8.18334
350,8.70335,10.5716,0.8232,8.31041
351,8.81527,10.6779,0.8255,8.09385
352,8.64071,10.5884,0.816,8.27701
353,8.39805,10.138,0.8283,8.0744
354,8.65571,10.5431,0.8209,8.0395
355,9.09124,10.5245,0.8637,7.96597
356,8.92703,10.5726,0.8443,8.08091
357,8.61933,10.1508,0.849,7.98496
358,9.18209,10.363,0.886,7.99065
359,8.82806,10.6457,0.8292,8.03827
360,8.65208,10.5518,0.8199,8.03532
361,8.49412,9.94623,0.8539,7.98898
362,8.85258,10.0455,0.8812,7.77884
363,9.14743,9.90174,0.9237,7.91646
364,8.57481,10.1029,0.8487,7.94539
365,8.9655,10.2434,0.8752,8.08469
366,8.51848,10.8714,0.7835,8.29628
367,8.71799,9.79252,0.8902,8.11514
368,8.82633,10.0857,0.875,7.92034
369,8.90352,10.3926,0.8566,8.04757
370,8.64383,10.2459,0.8436,8.14783
371,8.973,10.067,0.8912,7.99275
372,9.17139,10.9064,0.8408,7.87401
373,8.99898,10.9534,0.8215,7.95141
374,8.96758,10.9005,0.8226,8.13619
375,8.89718,11.0422,0.8057,8.14902
376,9.1425,10.4827,0.8721,8.15871
377,8.92203,10.8581,0.8216,8.10794
378,8.7073,10.4917,0.8298,8.4552
379,8.94664,10.3719,0.8625,8.02991
380,8.93282,10.6174,0.8413,8.1737
381,8.79232,10.8779,0.8082,8.07577
382,8.55965,10.6693,0.8022,7.97412
383,8.83039,10.7617,0.8205,8.17805
384,8.75258,10.7925,0.8109,8.36839
385,8.76972,10.298,0.8515,8.24361
386,8.83527,10.2782,0.8595,7.95215
387,8.85419,10.44,0.848,8.27112
388,8.90908,10.3208,0.8631,8.07758
389,8.9652,10.634,0.843,8.14533
390,8.65876,10.2647,0.8435,7.91265
391,9.02613,10.6711,0.8458,8.26346
392,9.16586,10.4703,0.8753,8.07166
393,9.50023,10.2903,0.9231,7.8705
394,9.09101,10.4915,0.8664,7.99541
395,9.12212,10.8135,0.8435,8.06161
396,9.11424,10.8247,0.8419,8.08002
397,9.30887,10.4111,0.894,7.98346
398,9.10314,10.7194,0.8491,8.00405
399,8.88618,10.1905,0.8719,7.92649
400,9.15169,10.4524,0.8755,8.09594
401,9.02097,9.99347,0.9026,7.60664
402,9.07949,10.3834,0.8743,8.01449
403,8.9163,10.2589,0.869,8.01176
404,8.82709,10.2539,0.8608,8.14989
405,8.39178,10.1306,0.8283,8.01382
406,8.87199,10.4393,0.8498,7.9017
407,8.92555,10.5834,0.8433,8.11837
408,9.02433,10.3003,0.876,7.81726
409,8.95608,10.295,0.8699,7.8191
410,9.03683,10.6077,0.8518,7.99326
411,8.964,10.692,0.8383,7.971
412,8.70925,10.2448,0.85,7.82609
413,8.88042,10.8442,0.8188,7.7999
414,8.85757,10.8506,0.8162,7.85341
415,8.95603,10.4731,0.8551,7.76251
416,9.03988,10.4668,0.8636,7.85955
417,8.67379,10.0651,0.8617,7.78868
418,8.7591,9.93241,0.8818,7.70412
419,8.94725,10.1731,0.8794,7.75443
420,8.80046,9.98347,0.8814,7.79665
421,8.8197,9.99408,0.8824,7.88285
422,8.95559,9.85364,0.9088,7.76709
423,8.83664,10.3782,0.8514,7.68559
424,8.86356,10.0793,0.8793,7.82823
425,8.97317,9.88552,0.9076,7.25663
426,8.85018,10.0353,0.8818,7.76523
427,9.0926,9.95295,0.9135,7.50579
428,9.07129,10.172,0.8917,7.42255
429,8.80079,9.92844,0.8863,7.515
430,8.82044,9.94776,0.8866,7.53766
431,8.77886,10.2279,0.8582,7.8432
432,8.84515,10.24,0.8637,8.08722
433,8.76058,10.304,0.8501,7.76994
434,8.97065,10.3926,0.8631,7.62196
435,8.48338,10.0467,0.8443,7.61927
436,9.05425,10.1305,0.8937,7.48905
