File,UMAP1,UMAP2,NDUFB7,Has_NDUFB7
Visium_control_P1.h5ad,-4.37717186984872,0.7296819068417435,2.6202278410408484,True
Visium_control_P1.h5ad,2.2457222980513656,-1.2905862949862594,2.3539276081454648,True
Visium_control_P1.h5ad,-4.366060073946468,-0.5482251070513839,1.5457308407969754,True
Visium_control_P1.h5ad,-1.3963870960221207,0.6666621543393021,1.5838568557105184,True
Visium_control_P1.h5ad,-0.17089366493081215,-0.33053571210051724,2.5523956453031307,True
Visium_control_P1.h5ad,-2.294393058393947,-0.7493006609454269,2.268758257397299,True
Visium_control_P1.h5ad,-0.7685723262772477,0.5412523128018265,1.8955350190836848,True
Visium_control_P1.h5ad,2.781970981980809,-1.0528145454897995,2.7477240052989678,True
Visium_control_P1.h5ad,2.28435373726035,2.1571269608960035,2.6877543014823075,True
Visium_control_P1.h5ad,1.5340948146834457,0.9197103209719544,0.0,True
Visium_control_P1.h5ad,-2.740968223188869,0.9885632289499526,2.3560138473675005,True
Visium_control_P1.h5ad,-3.438266153906337,-1.041308464862358,1.3002535046480261,True
Visium_control_P1.h5ad,2.435204986955174,1.0413561589941864,0.0,True
Visium_control_P1.h5ad,-1.2527279811844743,-0.42796188817168423,0.0,True
Visium_control_P1.h5ad,0.5557565731062972,-2.024525465823662,1.8519152467896478,True
Visium_control_P1.h5ad,-4.4925591903672135,-0.40379840359832,1.9429161348427086,True
Visium_control_P1.h5ad,-0.38204812583779457,2.0696726418957594,1.8449289991877313,True
Visium_control_P1.h5ad,2.6822109264388168,0.29744964613770297,1.3692884059981618,True
Visium_control_P1.h5ad,-0.8147492366776383,0.8564600028023606,2.0873861182998876,True
Visium_control_P1.h5ad,2.8094100994124496,2.4798334218487623,0.0,True
Visium_control_P1.h5ad,1.1224341434493148,1.7473438955769425,2.296487877619779,True
Visium_control_P1.h5ad,2.3979196590437972,0.6671895362362747,0.0,True
Visium_control_P1.h5ad,2.3557758373274886,1.4605378486142044,1.522341844063071,True
Visium_control_P1.h5ad,2.2899956745162093,2.515071807049263,1.7100043461272523,True
Visium_control_P1.h5ad,-0.6339573818192399,1.1388848699555283,2.2585266471592362,True
Visium_control_P1.h5ad,-4.047690983389369,-0.28429013714934537,2.5984562721529096,True
Visium_control_P1.h5ad,0.027518276597508162,-2.6134460590853807,2.035868102956839,True
Visium_control_P1.h5ad,-1.4871664005265153,-1.616855921603691,2.141832844363293,True
Visium_control_P1.h5ad,-3.2543352800354874,0.17843192591522983,2.410105436705302,True
Visium_control_P1.h5ad,1.6375350994124496,0.04583948626374057,1.4653122685397706,True
Visium_control_P1.h5ad,-4.507081206415645,0.8652608223185425,0.0,True
Visium_control_P1.h5ad,3.063869480515965,-1.273558678485405,3.1096534721859865,True
Visium_control_P1.h5ad,0.15271807136679527,-2.6584265850558397,2.1507259825459513,True
Visium_control_P1.h5ad,0.8171372455611312,-0.8293198965563888,1.3208215943176869,True
Visium_control_P1.h5ad,2.9826679271712386,-1.5269926212802047,1.4681345220300375,True
Visium_control_P1.h5ad,0.30914926948691246,-0.44272655472899625,2.195094083853929,True
Visium_control_P1.h5ad,2.38215065422202,-0.025172653056632965,0.0,True
Visium_control_P1.h5ad,1.8232655567183578,3.0416452266201857,2.3332100223141023,True
Visium_control_P1.h5ad,-2.0111467796311295,-0.2859796904101486,2.4188377236478664,True
Visium_control_P1.h5ad,-3.2089941459641373,0.25393265261505893,2.8471765008566123,True
Visium_control_P1.h5ad,1.9834208530440414,-0.5570444487109298,2.008151266515739,True
Visium_control_P1.h5ad,-1.5500123458847916,2.771391724398775e-05,2.4591774038221814,True
Visium_control_P1.h5ad,1.7434072536482894,0.48679160847519687,2.2994411425040777,True
Visium_control_P1.h5ad,1.1575498622908675,-2.108871760226738,2.6826625241222586,True
Visium_control_P1.h5ad,-4.4672495084748185,0.9422812513933068,1.95661467116005,True
Visium_control_P1.h5ad,-1.393380399321071,-1.5018458984866256,2.453717949568061,True
Visium_control_P1.h5ad,-4.778198387001506,0.06454247011994174,2.28377721138771,True
Visium_control_P1.h5ad,-2.8222587066636002,-0.39953857884551236,2.20388928513573,True
Visium_control_P1.h5ad,1.5745749515547836,2.0265650130734327,0.0,True
Visium_control_P1.h5ad,0.5662121814742171,0.8903360418901329,2.5998010128019176,True
Visium_control_P1.h5ad,-6.034093912218562,-1.1770191811099167,2.329853687124107,True
Visium_control_P1.h5ad,0.7979011577620589,-1.6170492790713424,2.4480040787980135,True
Visium_control_P1.h5ad,1.307904247666844,0.0010933257565384213,1.45692128261703,True
Visium_control_P1.h5ad,1.5403771442427718,-1.2263203285708542,1.4419492953562,True
Visium_control_P1.h5ad,1.7449307483687484,1.4251659788117295,0.0,True
Visium_control_P1.h5ad,0.1590867084517562,0.3218643046841507,2.2776787137579717,True
Visium_control_P1.h5ad,-2.2242436367020524,0.03872775807236484,0.954429686080412,True
Visium_control_P1.h5ad,2.2536068004622543,1.7347649909481888,2.1219667139184386,True
Visium_control_P1.h5ad,2.1377859157576644,1.6626321650967484,1.532221395996399,True
Visium_control_P1.h5ad,1.6172022861495101,2.359928665302742,2.807609570715238,True
Visium_control_P1.h5ad,-1.9188456493363297,-1.87478548512603,2.058834123899214,True
Visium_control_P1.h5ad,-2.4298529582962907,0.625479099892128,0.0,True
Visium_control_P1.h5ad,3.5346794170394027,-0.7927492283358688,2.3130010676081154,True
Visium_control_P1.h5ad,-0.16295814094399574,-2.4296918533816454,2.251840010498522,True
Visium_control_P1.h5ad,-4.235166664694301,-0.21632176861907193,2.20365030225719,True
Visium_control_P1.h5ad,-3.787574048613063,-2.205966057635796,2.4324646687424933,True
Visium_control_P1.h5ad,3.106955532456883,-0.23118263707305142,1.6540918790294832,True
Visium_control_P1.h5ad,3.373704914475926,2.230828104160774,0.0,True
Visium_control_P1.h5ad,1.8410220188155257,1.8014915563092118,0.0,True
Visium_control_P1.h5ad,0.9573164028182113,-0.07680458054686734,2.984043961594019,True
Visium_control_P1.h5ad,1.5705509227767074,3.128672537945259,0.0,True
Visium_control_P1.h5ad,0.8258099597945296,0.24433636441086581,1.8817266540582835,True
Visium_control_P1.h5ad,-2.5399832683548844,-1.0908129833712692,0.0,True
Visium_control_P1.h5ad,-2.7421183544144547,-1.4747210167422409,1.7242467394470675,True
Visium_control_P1.h5ad,3.151273731614598,0.23098414912079623,2.4624439581386364,True
Visium_control_P1.h5ad,-2.019100900267116,-2.3447664402499315,1.8045820441742193,True
Visium_control_P1.h5ad,3.352164272691258,1.4277949310765152,1.6575201119721923,True
Visium_control_P1.h5ad,0.8594923061385238,-1.0099564217105026,2.198173287754249,True
Visium_control_P1.h5ad,-3.2413973766312516,-0.4560276888384933,1.815481354198642,True
Visium_control_P1.h5ad,2.6040310901656234,3.0937918998227003,2.6898846769570257,True
Visium_control_P1.h5ad,-1.322978730772487,-2.2528033875002977,2.2024564560955526,True
Visium_control_P1.h5ad,-0.6442861515030778,-1.7612021587863083,2.22600158851423,True
Visium_control_P1.h5ad,-4.0774131971344865,-1.0027657173647995,1.8406800419339622,True
Visium_control_P1.h5ad,-2.6614479976639664,-0.9853525780215378,1.8919390284449655,True
