"source","target","pathway_name","prob","pval"
"C2","C7","CDH",0.00517697358881597,0
"C2","C7","COLLAGEN",0.0288741623097349,0.00142857142857143
"C2","C7","COMPLEMENT",0.000456099225019782,0
"C2","C7","CXCL",0.00157723410526936,0
"C2","C7","FN1",0.00386731379579074,0
"C2","C7","ICAM",0.00426665885532493,0.00166666666666667
"C2","C7","IGF",6.60420418108223e-05,0
"C2","C7","IL1",9.39223312776697e-05,0.02
"C2","C7","JAM",0.000206453813336191,0
"C2","C7","LAMININ",0.0217606618853705,0.00285714285714286
"C2","C8","CD34",0.0403569094115779,0
"C2","C8","COLLAGEN",0.00642243642693877,0.0166666666666667
"C2","C8","EPHA",0.0104270698473631,0
"C2","C8","EPHB",0.00437409333392635,0
"C2","C8","IGF",0.000206608852706618,0
"C2","C8","JAM",0.000723562527877889,0.01
"C2","C8","LAMININ",0.0181837948982266,0.01375
"C2","C8","NPR1",0.023650744620265,0
"C2","C8","PECAM1",0.0414784787068485,0
"C2","C8","TGFb",0.000567474248224948,0.0133333333333333
"C2","C8","VCAM",0.00203648892479527,0
"C2","C8","ncWNT",0.000390673699984229,0.00333333333333333
"C3","C2","ANGPTL",0.000111604480660883,0
"C3","C2","APP",0.0457506066859431,0.02
"C3","C2","BMP",0.000122144852481414,0
"C3","C2","CALCR",0.000341843310649631,0.04
"C3","C2","CDH5",0.0112741910404849,0.04
"C3","C2","COLLAGEN",0.0100118986696589,0.012
"C3","C2","EDN",0.00126780476419777,0
"C3","C2","EPHB",0.0015456814456616,0.01
"C3","C2","ESAM",0.0352214126674246,0
"C3","C2","FGF",0.000842712790747584,0.005
"C3","C2","GALECTIN",9.56080338384415e-05,0
"C3","C2","JAM",0.00232803238715878,0.01
"C3","C2","LAMININ",0.00580340050124692,0.0130769230769231
"C3","C2","MK",0.00328710104433327,0.00666666666666667
"C3","C2","NOTCH",0.0118922039075696,0.00416666666666667
"C3","C2","PDGF",0.000684090994800595,0.04
"C3","C2","PTN",0.000842187380083585,0.03
"C3","C2","PTPRM",0.00274677517191661,0.01
"C3","C2","SEMA3",0.0001624236321896,0.01
"C3","C2","SEMA5",2.98602925384949e-06,0.02
"C3","C2","SEMA6",5.22287984799666e-05,0
"C3","C2","THBS",0.0183783481235459,0
"C3","C2","VEGF",0.00199825548993588,0
