"sample","NDUFB7"
"GSM1379997",7.837534549
"GSM1379998",7.873661979
"GSM1379999",7.805986765
"GSM1380000",8.08970196
"GSM1380001",7.870877563
"GSM1380002",8.167888819
"GSM1380003",8.484510115
"GSM1380004",8.203569765
"GSM1380005",8.195339755
"GSM1380006",8.026328573
"GSM1380007",7.845592142
"GSM1380008",7.847591755
"GSM1380009",7.923462649
"GSM1380010",7.701587391
"GSM1380011",7.538065287
"GSM1380012",7.554433701
"GSM1380013",7.293804848
"GSM1380014",7.893386871
"GSM1380015",8.391744458
"GSM1380016",8.383937923
"GSM1380017",7.807816167
"GSM1380018",7.312233511
"GSM1380019",7.91379417
"GSM1380020",8.098520141
"GSM1380021",7.865562236
"GSM1380022",7.981365211
"GSM1380023",7.847506237
"GSM1380024",8.311739314
"GSM1380025",7.99365409
"GSM1380026",8.393864701
"GSM1380027",8.089699734
"GSM1380028",7.959872586
"GSM1380029",8.02498007
"GSM1380030",8.063207215
"GSM1380031",8.073328275
"GSM1380032",8.260458082
"GSM1380033",8.003495165
"GSM1380034",7.703373432
"GSM1380035",7.972702982
"GSM1380036",7.765652436
"GSM1380037",7.789730704
"GSM1380038",7.844304361
"GSM1380039",8.144444179
"GSM1380040",8.132376841
"GSM1380041",7.387178194
"GSM1380042",8.07140952
"GSM1380043",7.631532855
"GSM1380044",7.761470868
"GSM1380045",7.939197362
"GSM1380046",7.656191093
"GSM1380047",7.954765574
"GSM1380048",8.52197086
"GSM1380049",8.113664001
"GSM1380050",8.417756623
"GSM1380051",7.510772817
"GSM1380052",8.083296167
"GSM1380053",7.931660916
"GSM1380054",8.018395674
"GSM1380055",8.171361302
"GSM1380056",8.118798845
"GSM1380057",8.073272004
"GSM1380058",7.421005992
"GSM1380059",8.091584384
"GSM1380060",7.695366224
"GSM1380061",7.978139652
"GSM1380062",7.998255288
"GSM1380063",7.750069518
"GSM1380064",7.81296798
"GSM1380065",8.228294683
"GSM1380066",7.871971046
"GSM1380067",7.812643289
"GSM1380068",7.974705445
"GSM1380069",7.383679778
"GSM1380070",7.702607137
"GSM1380071",7.926068825
"GSM1380072",7.88334492
"GSM1380073",7.924187137
"GSM1380074",7.55459431
"GSM1380075",8.149531908
"GSM1380076",8.33129684
"GSM1380077",7.701793494
"GSM1380078",7.708240536
"GSM1380079",8.181314765
"GSM1380080",7.968320802
"GSM1380081",7.92848399
"GSM1380082",7.747739868
"GSM1380083",8.100876243
"GSM1380084",8.04257549
"GSM1380085",8.046445775
"GSM1380086",7.955099346
"GSM1380087",7.525105239
"GSM1380088",8.041464632
"GSM1380089",7.762895032
"GSM1380090",7.877874576
"GSM1380091",8.106474212
"GSM1380092",7.68395919
"GSM1380093",7.866155584
"GSM1380094",7.961101321
"GSM1380095",7.711473358
"GSM1380096",8.489647609
"GSM1380097",7.726708424
"GSM1380098",8.008743406
"GSM1380099",7.9996977
"GSM1380100",8.004017659
"GSM1380101",7.799807421
"GSM1380102",8.392657824
"GSM1380103",7.824615746
"GSM1380104",7.997832069
"GSM1380105",7.981676567
"GSM1380106",7.88518799
"GSM1380107",7.950138855
"GSM1380108",7.743029366
"GSM1380109",7.985867615
"GSM1380110",7.818656711
"GSM1380111",7.558468754
"GSM1380112",7.683389261
"GSM1380113",7.813077478
"GSM1380114",8.225612082
"GSM1380115",7.451171555
"GSM1380116",7.317443243
"GSM1380117",7.26262266
"GSM1380118",7.549363157
"GSM1380119",7.950762833
"GSM1380120",7.923720177
"GSM1380121",8.17981331
"GSM1380122",7.618936207
"GSM1380123",7.569226864
"GSM1380124",7.96683502
