"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.81771668290354e-22,2.7081932870658,1,0.61,2.11833645584269e-17,"10","Emcn"
1.16456365491624e-19,2.07338243013524,0.971,0.489,6.46181435203374e-15,"10","Ece1"
7.50040322075884e-19,2.95046435571433,1,0.841,4.16174873510246e-14,"10","Tm4sf1"
6.44172203740254e-17,2.05293453896346,0.971,0.602,3.57431830689354e-12,"10","Cd9"
1.08790311780117e-16,2.39988319046429,0.914,0.52,6.03644802974334e-12,"10","Cfh"
1.69045789785518e-14,1.96396679567491,0.971,0.632,9.37984373782901e-10,"10","Eng"
7.54766911667081e-12,2.08346569035908,0.771,0.345,4.18797516276713e-07,"10","Vcam1"
1.74177752116256e-10,2.08983010448889,0.486,0.141,9.66460093167472e-06,"10","H19"
8.29600887158378e-10,3.22745002526516,0.8,0.421,4.60320644257569e-05,"10","Igfbp5"
4.90423800623921e-66,3.98195676460901,1,0.044,2.72121454252195e-61,"11","Msln"
1.20541497997834e-64,3.88652325728178,1,0.045,6.68848609940584e-60,"11","Nkain4"
2.78197686308411e-53,4.4504389518175,1,0.057,1.54363550201948e-48,"11","Upk3b"
3.71918708554795e-42,3.8602458130664,1,0.076,2.06366533815799e-37,"11","Gpm6a"
4.6921969000413e-26,3.5403741908103,1,0.139,2.60355929392592e-21,"11","Cldn15"
2.93949396706233e-20,4.17019383493752,1,0.191,1.63103701750388e-15,"11","Efemp1"
1.0006289350924e-12,4.28223416088875,1,0.421,5.55218977214719e-08,"11","Igfbp6"
6.37622287320766e-12,3.95048576665644,1,0.506,3.53797478565673e-07,"11","Rarres2"
1.30749552668683e-11,4.20937118694349,1,0.481,7.2549004289272e-07,"11","C3"
1.58822239040836e-11,3.72295551959205,1,0.423,8.81256957765888e-07,"11","Igfbp5"
