region,ndufb7,cm_score,fb_score,ndufb7_residual,cm_bin
FZ,0.0,1.0485639251206722,2.6266738858463583,-0.30108990631190957,Q1_low
FZ,2.4134947816411794,3.742352723444283,1.7656803430724688,0.8771491644651621,Q3
FZ,0.0,2.2870711981194756,1.8941728419987536,-0.8690160862969811,Q1_low
FZ,2.1965137821041605,1.7572110256833284,3.307403020132459,1.5704687870703498,Q1_low
FZ,0.0,2.974404284614523,2.1474130480670537,-1.1841974846631884,Q2
FZ,1.5604183123938085,0.3120836624787617,3.1262340611934585,1.5970465861163785,Q1_low
FZ,0.0,1.5241216952237777,1.0211207531186257,-0.5191602508508847,Q1_low
FZ,0.0,3.3260820717022517,1.6987931983484095,-1.345461795790516,Q3
FZ,0.0,2.901658480304008,2.2428453651670983,-1.150839386852444,Q2
FZ,0.0,2.2348639255568328,2.056592135623046,-0.8450760759955884,Q1_low
FZ,2.6788631072447986,1.2031900076706605,0.6697157768111996,2.306868328347005,Q1_low
FZ,0.0,1.0554806184505707,1.585214788424318,-0.3042616044574249,Q1_low
FZ,0.0,2.194293616714472,3.3130434217216345,-0.8264722768706407,Q1_low
FZ,0.0,3.8819250908719285,0.978000021586668,-1.6003475033116767,Q4
FZ,2.9701931251947324,3.9996047905784087,1.2348582557886063,1.3158827717866912,Q4
FZ,2.3116349285139637,3.9996352058270888,0.0,0.6573106279807235,Q4
FZ,0.0,0.7726259472312805,3.119661589006452,-0.17455661489563967,Q1_low
FZ,0.0,2.0815984925362936,2.1704758971306903,-0.7747951387764197,Q1_low
FZ,0.0,1.9070893368684145,3.157248719315067,-0.6947727438243841,Q1_low
FZ,1.6931459986858783,1.1608691356523626,2.245365950627092,1.3405577519118665,Q1_low
FZ,2.143603485897122,2.697973484525103,0.9136405902974518,1.086165279719941,Q1_low
FZ,2.4680263143094834,3.394339918743671,0.7794683623237033,1.0912644049311193,Q3
FZ,0.0,0.7403872271885141,1.877893958213546,-0.1597733241385622,Q1_low
FZ,2.461135816587141,3.507179100455681,2.883104035055572,1.0326307105239683,Q3
FZ,0.0,3.761642229540324,0.9212330244070579,-1.545190955229138,Q3
FZ,2.249370396732955,3.2085808957975965,3.0565606682575868,0.957789587699752,Q3
FZ,0.0,1.7521667859185406,2.743507836456911,-0.6237319235783576,Q1_low
FZ,0.0,0.0,2.711847356313857,0.17973642183877803,Q1_low
FZ,0.0,2.0411806939606896,2.9207779751299654,-0.7562612743019145,Q1_low
FZ,0.0,1.8396149433375293,1.7375857750919463,-0.6638318883282194,Q1_low
FZ,0.0,1.1550171606782746,0.7218857254239217,-0.34990478268392633,Q1_low
FZ,1.7259527952390536,3.6916133585329254,2.731411687331077,0.21287406903510386,Q3
FZ,1.6756305142394838,0.45410171554545453,3.53331281349626,1.647135415556019,Q1_low
FZ,1.870491810022769,3.59101725044732,2.587235196073153,0.40354213338676503,Q3
FZ,0.0,0.42106584249915463,2.283192767110971,-0.013346267836288339,Q1_low
FZ,0.0,2.052071596046253,2.822956373636464,-0.7612553736930866,Q1_low
FZ,0.0,3.3469226795297033,2.4356474048856755,-1.355018402400789,Q3
FZ,1.2215212745673165,1.0156130608736156,2.518925733064372,0.9355412177226015,Q1_low
FZ,0.0,2.9529377346031525,2.5420407127045794,-1.1743538478826816,Q2
FZ,0.0,1.9732068042844322,1.5237046916762873,-0.7250913713516548,Q1_low
FZ,1.594252552618515,0.9589756153779725,3.23974615436053,1.3342439928862633,Q1_low
FZ,2.127808962236969,2.130459453068819,2.420653355704464,1.3306082879658336,Q1_low
FZ,0.0,3.4360552331722305,1.9453784558404443,-1.3958907588302727,Q3
FZ,0.0,2.0970072974372016,3.044491363339184,-0.781860954130349,Q1_low
FZ,0.0,2.642839682826428,0.0,-1.03215621545381,Q1_low
FZ,0.0,1.104091518613935,2.8347789798827536,-0.3265524730193585,Q1_low
FZ,0.0,3.1574069799589073,1.9489565343950153,-1.2681146516914101,Q2
FZ,2.345066087970213,1.5358477549044562,2.931137397250951,1.820528770366543,Q1_low
FZ,0.0,2.8704857730094,2.0769851692974246,-1.1365449237034686,Q2
FZ,2.199360759723985,1.6564355689666574,2.9898859864785057,1.6195270558283936,Q1_low
FZ,0.0,3.800311562897364,1.2790043087875023,-1.562923048737849,Q4
FZ,2.8959851594979376,3.530797765761193,1.7569175840162874,1.4566495491206264,Q3
FZ,0.0,2.828664728280652,1.9932705481784394,-1.1173675908822625,Q2
FZ,0.0,2.930066123085146,2.145504964353202,-1.163865910312422,Q2
FZ,1.8594265601182582,3.4842767534957892,2.232191260855252,0.44142348557737954,Q3
