"Condition","CM_Score","Ferro_Score","OXPHOS","Ferro_Def","NDUFB7"
"Donor",0.853129080321026,0.0985067132945877,0.447939867307014,0.115524530093324,1
"Donor",0.690636712007504,-0.159663164151784,0.173286795139986,0,0
"Donor",0.899672535413697,0.122126496674357,0.173286795139986,0.115524530093324,0
"Donor",1.21336226548101,-0.121456906359259,0,0.183102048111352,0
"Donor",1.1110953569102,0.18833284583541,0.346573590279973,0.115524530093324,0
"Donor",0.603447799714956,-0.0481045803430022,0,0,0
"Donor",0.798853643205395,-0.125309102201428,0,0,0
"Donor",0.807961412971716,-0.0629951696158056,0.173286795139986,0.115524530093324,0
"Donor",0.685086548972233,0.117497283506653,0.346573590279973,0.414151108298,0
"DCM",0.438454425883125,-0.0483937711644371,0.173286795139986,0,0
"Donor",0.643496805554558,-0.201143858643483,0,0,0
"Donor",0.939125996119258,-0.000252053613045811,0.173286795139986,0.115524530093324,1
"Donor",0.806039401280965,0.0107717340225257,0.346573590279973,0.231049060186648,0
"DCM",0.667311033518215,-0.195196818429175,0.173286795139986,0.231049060186648,0
"DCM",-0.079131107641346,0.0266457306982901,0,0.231049060186648,0
"Donor",1.38099770653547,-0.209347999656535,0.173286795139986,0.115524530093324,2
"Donor",0.906442867621932,0.713662209875715,0,0.414151108298,0
"DCM",1.07308243802005,-0.197821297600091,0,0,1
"Donor",0.992373098900663,-0.262645460690413,0.447939867307014,0,0
"Donor",0.130277876575158,0.00864548335381077,0,0.298626578204676,0
"Donor",1.36552301566053,0.0229637417943023,0,0.231049060186648,0
"Donor",1.02648274707962,0.00274040563256073,0.173286795139986,0.115524530093324,0
"Donor",1.05846467064591,0.0478803523660151,0.346573590279973,0.115524530093324,0
"Donor",0.810710756930034,0.232408892900615,0.274653072167027,0.414151108298,0
"Donor",0.971418381470835,-0.22781407686673,0,0.115524530093324,1
"DCM",0.327863937988005,0.0920489982263075,0.274653072167027,0.414151108298,1
"Donor",1.42240589809692,-0.122322924808009,0.346573590279973,0.115524530093324,0
"Donor",0.875019992115776,0.342116424294813,0.173286795139986,0.183102048111352,0
"Donor",0.989881844729313,0.124649506305195,0,0.183102048111352,0
"Donor",0.608684789960352,0.415406871886818,0.575646273248511,0.183102048111352,0
"Donor",1.18739557725288,-0.119200207220273,0.274653072167027,0.115524530093324,0
"Donor",0.793603395764838,-0.202390216127607,0.173286795139986,0,1
"Donor",0.609221184899771,-0.180909610563575,0.173286795139986,0,0
"Donor",0.977897688402671,0.208822149777641,0.346573590279973,0,0
"Donor",1.08327094581478,0.0632292975758011,0.173286795139986,0,1
"DCM",0.0139688317632432,-0.0730362374108703,0,0,0
"Donor",0.797975452408403,0.0313290060159942,0.173286795139986,0.346573590279973,0
"Donor",0.833726410930281,0.132963162861683,0.346573590279973,0.231049060186648,0
"Donor",1.17400014571269,0.272838330076692,0.173286795139986,0.414151108298,0
"Donor",0.895269618838678,0.0202425273827839,0,0.183102048111352,0
"Donor",1.03872698921156,-0.15073296294055,0,0.115524530093324,0
"DCM",0.213608532277175,-0.159952950553593,0,0,0
"Donor",0.485438231982677,-0.144292386620151,0,0,0
"DCM",0.651778317139005,-0.0245097088499722,0.346573590279973,0.115524530093324,0
