dataset,ndufb7_expression
GSE168742_human_HF_CM,498.56
GSE168742_human_HF_CM,553.906
GSE168742_human_HF_CM,554.012
GSE168742_human_HF_CM,314.276
GSE168742_human_HF_CM,131.369
GSE168742_human_HF_CM,277.174
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,756.119
GSE168742_human_HF_CM,625.932
GSE168742_human_HF_CM,62.7935
GSE168742_human_HF_CM,420.764
GSE168742_human_HF_CM,40.5593
GSE168742_human_HF_CM,120.251
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,231.364
GSE168742_human_HF_CM,0
GSE168742_human_HF_CM,31.6421
GSE168742_human_HF_CM,122.01
GSE168742_human_HF_CM,254.439
GSE168742_human_HF_CM,215.056
GSE168742_human_HF_CM,153.962
GSE168742_human_HF_CM,250.736
GSE168742_human_HF_CM,135.538
GSE168742_human_HF_CM,153.647
GSE168742_human_HF_CM,163.141
GSE168742_human_HF_CM,90.1084
GSE168742_human_HF_CM,167.993
GSE168742_human_HF_CM,364.453
GSE168742_human_HF_CM,260.265
GSE168742_human_HF_CM,372.514
GSE168742_human_HF_CM,281.305
GSE168742_human_HF_CM,270.36
GSE168742_human_HF_CM,425.922
GSE168742_human_HF_CM,317.599
GSE168742_human_HF_CM,314.262
GSE168742_human_HF_CM,219.458
GSE168742_human_HF_CM,180.72
GSE168742_human_HF_CM,329.515
GSE168742_human_HF_CM,214.578
GSE168742_human_HF_CM,278.684
GSE168742_human_HF_CM,135.486
GSE168742_human_HF_CM,405.892
GSE168742_human_HF_CM,313.008
GSE168742_human_HF_CM,207.229
GSE168742_human_HF_CM,105.533
GSE168742_human_HF_CM,156.395
GSE168742_human_HF_CM,174.48
GSE168742_human_HF_CM,112.462
GSE168742_human_HF_CM,184.811
GSE168742_human_HF_CM,291.074
GSE168742_human_HF_CM,556.741
GSE168742_human_HF_CM,79.5833
GSE168742_human_HF_CM,249.946
GSE168742_human_HF_CM,236.33
GSE168742_human_HF_CM,295.135
GSE168742_human_HF_CM,267.258
GSE168742_human_HF_CM,209.559
GSE168742_human_HF_CM,141.194
GSE168742_human_HF_CM,53.4034
GSE168742_human_HF_CM,138.731
GSE168742_human_HF_CM,157.982
GSE168742_human_HF_CM,301.916
