cell_id,ndufb7_expression,cell_type
SC_92563_16_70,68,N_LA_NCM
SC_92563_16_18,3,N_LA_NCM
SC_92563_16_68,0,N_LA_NCM
SC_92563_16_13,1,N_LA_NCM
SC_92563_17_46,25,N_LA_NCM
SC_92563_18_63,53,N_LA_NCM
SC_92563_18_64,3,N_LA_NCM
SC_92563_17_41,1,N_LA_NCM
SC_92563_17_47,0,N_LA_NCM
SC_92563_17_42,0,N_LA_NCM
SC_92563_18_71,21,N_LA_NCM
SC_92563_18_60,0,N_LA_NCM
SC_92563_18_66,1,N_LA_NCM
SC_92563_17_37,6,N_LA_NCM
SC_92563_17_44,0,N_LA_NCM
SC_92563_18_62,0,N_LA_NCM
SC_92563_18_15,2,N_LA_NCM
SC_92563_18_16,10,N_LA_NCM
SC_92563_18_22,0,N_LA_NCM
SC_92563_19_41,73,N_LA_NCM
SC_92563_19_42,0,N_LA_NCM
SC_92563_18_14,0,N_LA_NCM
SC_92563_19_37,78,N_LA_NCM
SC_92563_20_21,1,N_LA_NCM
SC_92563_20_22,0,N_LA_NCM
SC_92563_20_65,0,N_LA_NCM
SC_92563_20_71,0,N_LA_NCM
SC_92563_20_18,0,N_LA_NCM
SC_92563_20_14,0,N_LA_NCM
SC_92563_16_40,1,N_LA_NCM
SC_92563_16_41,0,N_LA_NCM
SC_92563_17_65,0,N_LA_NCM
SC_92563_16_37,5,N_LA_NCM
SC_92563_16_43,1,N_LA_NCM
SC_92563_17_61,0,N_LA_NCM
SC_92563_17_67,0,N_LA_NCM
SC_92563_17_62,0,N_LA_NCM
SC_92563_17_16,1,N_LA_NCM
SC_92563_17_22,27,N_LA_NCM
SC_92563_18_46,67,N_LA_NCM
SC_92563_17_12,0,N_LA_NCM
SC_92563_17_19,0,N_LA_NCM
SC_92563_17_20,0,N_LA_NCM
SC_92563_17_14,0,N_LA_NCM
SC_92563_18_44,0,N_LA_NCM
SC_92563_19_69,23,N_LA_NCM
SC_92563_19_70,0,N_LA_NCM
SC_92563_19_65,0,N_LA_NCM
SC_92563_19_17,0,N_LA_NCM
SC_92563_19_23,1,N_LA_NCM
SC_92563_19_62,0,N_LA_NCM
SC_92563_19_19,1,N_LA_NCM
SC_92563_20_46,5,N_LA_NCM
SC_92563_21_64,0,N_LA_NCM
SC_92563_21_70,1,N_LA_NCM
SC_92563_21_65,0,N_LA_NCM
SC_92563_21_60,0,N_LA_NCM
SC_92563_21_66,0,N_LA_NCM
SC_92563_20_44,19,N_LA_NCM
SC_92563_20_38,1,N_LA_NCM
SC_92563_21_61,1,N_LA_NCM
SC_92563_21_62,60,N_LA_NCM
SC_92563_16_4,31,N_LA_CM
SC_92563_16_11,13,N_LA_CM
SC_92563_16_0,7,N_LA_CM
SC_92563_16_56,0,N_LA_CM
SC_92563_16_8,2,N_LA_CM
SC_92563_17_35,0,N_LA_CM
SC_92563_18_53,1,N_LA_CM
SC_92563_17_26,13,N_LA_CM
SC_92563_18_9,3,N_LA_CM
SC_92563_18_10,3,N_LA_CM
SC_92563_18_6,8,N_LA_CM
SC_92563_18_7,29,N_LA_CM
SC_92563_19_31,4,N_LA_CM
SC_92563_19_32,10,N_LA_CM
SC_92563_20_9,2,N_LA_CM
SC_92563_20_0,22,N_LA_CM
SC_92563_20_1,12,N_LA_CM
SC_92563_20_8,1,N_LA_CM
SC_92563_16_27,1,N_LA_CM
SC_92563_16_34,3,N_LA_CM
SC_92563_17_53,1,N_LA_CM
SC_92563_16_31,23,N_LA_CM
SC_92563_16_26,0,N_LA_CM
SC_92563_17_9,6,N_LA_CM
SC_92563_18_27,17,N_LA_CM
