"Gene","Expression"
"BAZ2B",1.33161806746712
"ZEB2",1.3300457404231
"MYL12A",1.32447112635792
"DCN",1.32089765580332
"PACRG",1.32046883933676
"PEAK1",1.31975414522584
"ZEB1",1.31660949113779
"CASQ2",1.31246426529445
"NCKAP5",1.31046312178388
"SGCG",1.30989136649514
"MYOCD",1.30960548885077
"PDLIM3",1.30903373356204
"PPARGC1A",1.30874785591767
"TRIO",1.30531732418525
"TMEM71",1.30445969125214
"SLC25A36",1.30331618067467
"LUC7L3",1.29731275014294
"COMMD10",1.2967409948542
"INADL",1.28930817610063
"FHL1",1.28630646083476
"JAZF1",1.28387650085763
"TTC28",1.28073184676958
"HNRNPA2B1",1.27887364208119
"PNISR",1.27630074328188
"TNIK",1.27458547741567
"ARGLU1",1.27287021154946
"LINC00969",1.27258433390509
"F13A1",1.27144082332762
"WNK1",1.26972555746141
"MARK3",1.2661520869068
"PLCB4",1.26486563750715
"COG5",1.26329331046312
"TIMP3",1.26272155517439
"VPS13D",1.2625786163522
"PRKAG2",1.26086335048599
"NAV1",1.25528873642081
"VPS13B",1.25528873642081
"FNIP2",1.25471698113208
"NF1",1.24899942824471
"UBR3",1.24871355060034
"SSH2",1.24871355060034
"SIK3",1.24785591766724
"ST7",1.24485420240137
"PPM1L",1.23813607775872
"USP34",1.23613493424814
"NBEA",1.23556317895941
"C14orf159",1.23256146369354
"COL4A2",1.23013150371641
"ACYP2",1.22698684962836
"KALRN",1.21883933676387
"NCOA2",1.2185534591195
"EBF1",1.21812464265294
"FAF1",1.21497998856489
"ARHGEF12",1.21426529445397
"TCF4",1.21240708976558
"TNS1",1.20854774156661
"MYL6",1.20854774156661
"PTK2",1.2076901086335
"KLHL24",1.2032590051458
"NAALADL2",1.2014008004574
"HADHB",1.1978273299028
"CORIN",1.19468267581475
"CLIC5",1.19225271583762
"MIR133A1HG",1.17967409948542
"EYA4",1.17824471126358
"MYPN",1.17767295597484
"ASAH1",1.17381360777587
"PTGDS",1.17338479130932
"PRKAA2",1.17095483133219
"HRAT17",1.16938250428816
"MAML2",1.16895368782161
"RICTOR",1.16866781017724
"MYL9",1.16252144082333
"DOCK4",1.16223556317896
"BTBD9",1.16123499142367
"FOXO3",1.15894797026873
"PPP1R9A",1.15723270440252
"ST3GAL1",1.15551743853631
"ZNF106",1.15451686678102
"KAT6B",1.15408805031447
"HIF3A",1.14736992567181
"BIRC6",1.14422527158376
"SSBP2",1.14365351629503
"ZNF407",1.13836477987421
"USP47",1.12864493996569
"AC011288.2",1.12835906232133
"PLD1",1.12578616352201
"ABCC9",1.12449971412236
"MT-CYB",1.12235563178959
"LMOD2",1.12164093767867
"SMYD3",1.12092624356775
"CSGALNACT1",1.11906803887936
"RP11-1000B6.3",1.11863922241281
"GSK3B",1.11835334476844
"ABCA8",1.11792452830189
"TMEM65",1.11620926243568
"C1orf21",1.11463693539165
"ZCCHC11",1.11406518010292
"KMT2C",1.11406518010292
"CLASP1",1.11192109777015
"DAAM1",1.10977701543739
"PIP5K1B",1.107918810749
"NAV2",1.10663236134934
"LRRC2",1.10506003430532
"KIF13A",1.10491709548313
"SCAPER",1.10463121783876
"STAG1",1.1043453401944
"CTNNA1",1.09862778730703
"MDH1",1.09848484848485
"SRSF11",1.0926243567753
"ACSS3",1.0926243567753
"OSBPL9",1.09119496855346
"TBX20",1.09105202973127
"NR3C2",1.09048027444254
"MPP3",1.09048027444254
"KANSL1",1.08862206975415
"USP53",1.08704974271012
"AFF1",1.08604917095483
"BCAS3",1.08576329331046
"MACROD2",1.08476272155517
"ADK",1.08333333333333
"LRBA",1.08176100628931
"MECOM",1.08018867924528
"CSNK1A1",1.0800457404231
"NIPBL",1.07904516866781
"FAM134B",1.07532875929102
"PLPP1",1.07475700400229
"ASH1L",1.07304173813608
"LDHB",1.0718982275586
"DIP2C",1.07075471698113
"ELL2",1.0701829616924
"HIPK3",1.06703830760435
"NCOA1",1.0638936535163
"FILIP1L",1.06360777587193
"SCAF11",1.06360777587193
"SMYD1",1.06074899942824
"EPC1",1.05960548885077
"CHPT1",1.0557461406518
"NEGR1",1.05517438536306
"EXT1",1.05174385363065
"KLHL31",1.04874213836478
"DECR1",1.04774156660949
"SEMA5A",1.04645511720983
"USP15",1.04545454545455
"TTC17",1.04345340194397
"FGD4",1.039594053745
"ASPH",1.0377358490566
"PLA2G5",1.03544882790166
"PCM1",1.03401943967982
"RALGAPA1",1.03301886792453
"ELF2",1.03230417381361
"ZHX2",1.03016009148085
"RP11-767I20.1",1.02844482561464
"ELF1",1.02844482561464
"KLHL7",1.02801600914808
"STK3",1.02587192681532
"HNRNPDL",1.0224413950829
"PGM5",1.01943967981704
"ALPK2",1.0188679245283
"XIRP2",1.01386506575186
"FNBP4",1.01272155517439
"CDK14",1.00743281875357
"AHI1",1.00528873642081
"ST6GALNAC3",1.00371640937679
"PDE7B",1.00157232704403
"ALDOA",1.00157232704403
"COX5B",0.999428244711264
"DGKG",0.997427101200686
"SLC20A2",0.99685534591195
"PPP2R3A",0.995283018867924
"HERC1",0.994282447112636
"PIAS1",0.993996569468268
"ZNF91",0.993710691823899
"EVI5",0.992995997712979
"NFAT5",0.991709548313322
"PARD3B",0.991423670668954
"CCDC91",0.990137221269297
"DYNC1I1",0.988993710691824
"PPP6R3",0.987993138936535
"KMT2E",0.987278444825615
"TTTY14",0.986849628359062
"HOMER1",0.985991995425958
"RALYL",0.984562607204117
"NBEAL1",0.984133790737564
"TACC1",0.983419096626644
"SMCHD1",0.981417953116066
"DAPK2",0.980989136649514
"SF1",0.980131503716409
"DLEU2",0.979702687249857
"COX6A2",0.979702687249857
"ITGA9",0.977987421383648
"ZNF280D",0.977415666094911
"RGL1",0.974271012006861
"NUDT4",0.971983990851915
"GRK5",0.971841052029731
"UBR5",0.970697541452258
